rating,review
__label__1 ,køber en vare 26/4 hvor eneste mulighed for betaling er bankoverførsel  hvilket undrer mig da jeg altid har kunnet betale med det samme med visa. kan læse mig frem til at jeg efterfølgende skal modtage betalingsinformation fra zalando hvilket jeg aldrig gør. har tjekket mail dagligt også spam - jeg har intet modtaget. nu er min ordre annulleret for jeg “ikke har betalt” min ordre. tager kontakt til zalando og beder om hjælp da varen stadig er på lager dog til en pris der er mere end 900kr dyrere end da jeg bestilte. men ingen hjælp at hente da det tilsyneladende er “min” fejl. at jeg ikke har modtaget info. det er ualmindelig dårlig service.
__label__1 ,elendig service. fik 3 par underbukser og havde bestilt en jakke. service eller mangel på samme jeg får ikke jakken og skal til bøvle med sende deres underbukser tilbage. pisse sur kvinde i røret så nu kan de rende mig  elendig biks.
__label__5 ,"tæt på verdens bedste kundeservice. havde et par new balance sneakers  som er et år gamle. den ene sko så lidt anderledes ud i ruskindet  men jeg levede lidt med det. så mere ""flosset"" ud end den anden sko. men der begyndte at opstå små huller ved syning  til trods for de ikke har været brugt meget. sendte et par fotos på email  og et par timer senere var der allerede aftalt penge retur  samt forsendelse tilbage til zalando af skoene. virkelig dejlig  hurtig  hjælpsom og perfekt kundeservice. ja  der var tydelig fejl på skoen  men ofte skal det altid sendes til ""vurdering"" osv.  det her forløb så nemt  så vil til enhver tid kigge hos zalando igen  når der skal shoppes tøj og sko."
__label__5 ,jeg har stort set kun købt tøj  sko og jakker m.m. ved zalando  og jeg har aldrig haft problemer. tingende kommer efter 3 dage  og fejler intet overhovedet. jeg kan klart anbefale at handle her.
__label__5 ,enkelt og overskuelig website. let bestilling. vare leveret hurtigt - og problemfrit.
__label__5 ,købt varen sent på dagen. leveret i pakkeboksen næste dag. super flot!
__label__5 ,vild med dem….har købt et par gange  priserne er yderst fineog  tænk man kan få leveret til sin dør samme aften
__label__5 ,det er godt sted købe ting og jeg køber der igen
__label__3 ,angivet leveringstid 1-3 dage. der gik 8 dage.
__label__1 ,lang leverings tid  og fik ikke den ønskede model.
__label__5 ,var i to butikker for at finde en vare  begge uden held og med dårlig service. finder varen på proshop og kunne hente den ganske kort tid efter. venlig og hurtig service da jeg afhentede. så kører hellere helt ud til jeres lager på slet møllevej  end at genbesøge de to andre butikker 
__label__2 ,vær opmærksom på  at når i bestiller en vare hos proshop  at den estimerede dato for levering på ingen måde passer!jeg havde netop valgt et andet grafikkort  for at få varen på den dato alle de andre varer jeg havde bestilt lå på  men af en eller anden grund har de ikke formået at sende de 3 pakker samlet  så jeg nu skal flere gange ned og hente  det er simpelthen under al kritik. det undrer mig virkelig at man på fakturen skriver levering i dag  på alle produkterne men kun sender én ud af 3 pakker.det er jeg godt nok træt af! næste gang handler jeg sgu ikke ved proshop  medmindre der kommer en eller anden form for kompensation i det her.
__label__5 ,som altid - god og hurtig levering.
__label__5 ,"proshop giver de fleste ""baghjul"" i priser  udvalg og ikke mindst service."
__label__5 ,god kundeservice og tålmodig personale.
__label__5 ,det er altid en fornøjelse at handle hos proshop  priserne er fornuftige og de er super hurtige.
__label__5 ,ej hvor blev jeg glad for jeg i går aftes kunne bestille en pakke lego og nu side med mina søns gave i hånden!!! 
__label__5 ,super hurtig levering - og nu køre den gamle pc  som en drøm 
__label__3 ,vil hellere havde haft en pakkeboks hvor jeg kunne hente varerne i stedet for at tage imod varerne fra en sur ubebjæpelig ansat i københavn  men var ellers tilfreds med selve købet online og varerne var gode til en rimelig pris. vil købe igen fra proshop a/s
__label__5 ,vildt hurtig levering . top service hele vejen igennem forløbet fra bestilling til modtagelse 
__label__5 ,super service  god betjening af simon da jeg ringede og klagede over en vare
__label__1 ,jeg har altid handlet ved zalando og har fået en god oplevelse  men de sidste to gange har været skrald  de sender en kjole der er gået i stykker  skulle bruge den til galla  men nu skal jeg finde en ny  det værste er at den er gude smuk men alt for dårlig stand  det kan de kkke gøre så meget ved  det mindste de kan gære er 50% rabat idc… nu skal den sendes tilbage dårligt sted virkelig skuffede.. ikke handel der
__label__1 ,"hvad sker der for zalando. mine varer var lovet leveret senest igår (bestilt 24.4.)  og de står stadig som ""venter"" uden at jeg får besked om hvorfor.jeg har prøvet at skrive til den mail adresse man kan finde på nettet  men får retursvar ""det er desværre ikke muligt  at sende en e-mail til denne e-mail adresse"" og så henviser de til deres faq.vrikelig utilfredsstillende.0 stjerner herfra jeg finder et andet sted at handle."
__label__5 ,elsker zalando. oplever aldrig problemer hverken med fragt eller retur! og er der endelig noget med rabat  forsvunden pakke mm. er de altid meget behjælpelige! køber hellere på zalando end alle andre hjemmesider
__label__1 ,rigtig dårlig til at kommunikere på et ordentlig sprog. flabet og ubehagelig medarbejder fordi hun ikke kunne stave. var hun ansat i en synlig butik var hun smidt på gaden.
__label__5 ,god butik. alt fungerer perfekt
__label__1 ,har fået et par puma sneaks i fødselsdagsgave. de er købt et nummer større end jeg normalt bruger  da samtlige anmeldelser af produktet skriver at man skal gå en størrelse op. i mit tilfælde er det desværre for meget  og jeg har behov for at bytte til nummeret mindre. da de blev købt kostede de 404 - da jeg så nogle dage efter ønsker at ombytte til nummeret større  er de sat op til 779 - jeg ringer til kundeservice  som afviser at lade mig ombytte skoene til præcis samme model og farve  blot et nummer mindre. ønsker jeg skoene i str 37.5 i stedet for 38  skal jeg altså nu betale zalando 375 - mere for præcis samme sko. det er godt nok hvad jeg kalder for elendig kundeservice 
__label__5 ,jeg har aldrig oplevet problemer med zalando og der er god kvalitet
__label__1 ,købte en ny trenchcoat fra weekday  men da jeg modtog den var det tydeligt at jakken slet ikke var ny  den lugtede af røg  havde fedtpletter  der lå brugte mundbind i den ene lomme og en klistret lipgloss i den anden  derudover var prismærkerne også klippet af.
__label__1 ,utrolig ringe service. pakken bliver ikke leveret på den lovede dato. får to intet sigende svar fra kundeservice  da jeg rykker for en leveringsdato. pludselig kommer der et svar  at pakken er forsvundet hos bring. jeg kan nu  ifølge kundeservice  vælge at bestille varen igen blot til en pris  som nu er ca. 200 kr. højere...zalando har store leveringsproblemer i øjeblikket eller er det snarere store økonomiske problemer?
__label__1 ,dårlig kundeservice!jeg bestilte et par nike sko  som stod til at være små i størrelsen  hvorfor zealandske anbefalede at man gik en størrelse op. jeg bestiller derfor dem i to størrelser større end normale sko og et nr. større end normalt  når jeg bruger sneakers. de er nu ankommet og er for små. jeg er selvfølgelig interesseret i en ombytning til et nr. større  men nu er prisen steget 150kr på samme par. jeg kontakter derfor zalando om et prismatch  hvilket der ikke kan høre tale om. der er i øvrigt hvad de rolig er lidt slid mærker på skoene og et syning  som er gået på stoffet  hvilket jeg ikke nåede at få nævnt  da jeg antog det bare gik igennem med et prismatch  og medarbejderen var hurtig til at lægge på igen for at undersøge det og vende tilbage via mail..
__label__1 ,faktisk en okey butik.  men deres service generelt sammen med deres alt for vilde lange leverings tider gør bare at man bliver træt.   det går sindsygt langsomt inden de overhovedet bare har fået købt en pakke label. det tog bla 1 dag for dem.  venter stadig på pakken.  5 dage efter betaling
__label__1 ,dårlig service får en forkert trøje hjem og de er ligeglad
__label__1 ,fuldstændigt skandaløst! de skriver de får air jordans på lager på et bestemt tidspunkt - nogle helt random der ikke er så stor efterspørgsel på  vi har siddet klar med 3 enheder og refreshet og haft et script kørende for at tjekke hvert millisekund  mail advarsel sat op osv.  de er udsolgt på forhånd i alle størrelser!zalando er blevet til et vaske ægte scam site der skriver de har produkter som de aldrig kommer til at kunne sælge! kun for at drive trafik til at købe alternativer de måske har.
__label__4 ,har netop købt et produkt på hjemmesiden som var dejligt nemt  eneste minus var betalingen som fejlede  men det løste min bank.
__label__3 ,rimelig overskuelig app/hjemmeside det fungere fint og som det skal.men har nu ventet i over en måned på at i for er par sko på lager som jeg godt kunne tænke mig. syndes godt nok det er lang tid.
__label__1 ,hej zalando. i behøver ikke blive ved med at sende mig 'du har efterladt varer i din kurv  sky d dig at gennemføre ordren før de bliver udsolgt'-mails.jeg har efterladt varerne  fordi man kun kan betale med bankoverførsel (seriøst?)  og ikke jan bruge dankort  mobilepay  paypal eller andre gængse betalingsmiddel. ja  jeg kan godt se der står i jeres betingelser at det er en mulighed. ja  jeg er ligeglad - hvis man gerne vil gave kunder i sin webshop  så skal man lade være med at gøre handlen så besværlig for kunderne.
__label__1 ,må sige  at serviceniveauet er faldet en del! konceptet er godt - og jeg har benyttet det i mange år som tilfreds kunde. men de senest ordrer  har servicen været decideret mangelfuld. zalando kompenserer ikke længere for de fejl  de selv står til ansvar for! de sender tøj i forkerte størrelser og sko med tydelig misfarvninger og de er på ingen måde behjælpelig med at rette op på det! jeg kan returnere og bestille på ny - vel at mærke til en højere pris  da produkterne i mellemtiden er steget!
__label__1 ,zalando har vurderet min returnering og at tøjet har været brugt. jeg har prøvet tøjet på én gang!! én gang!de sendte mig tøj  hvor mærkatet ikke sad på - tænker det må være det  deres vurdering er baseret på. de tilbageholder alle penge for returneringen (havde samlet returnering fra 2 i én samlet  og man kan ikke få kontakt til dem og få nærmere forklaringer. det er jo helt ekstremt elendigt  hvis man ikke må prøve det tøj man bestiller. desuden havde de ikke sendt returlabel med til den ene af mine bestillinger. det virker som om de direkte går efter - særligt når man ikke kan have kontakt til dem.
__label__3 ,har altid købt fra zalando og det har altid været rigtig godt  men i dag har jeg fået af vide af de har tabt min ordre. det var endda mig selv det skrev efter der gik 4 dage hvor postnord havde fået oprettet den i systemet  men ikke modtaget pakken. har heldigvis fået pengene retur og en rabatkode på 10%
__label__5 ,hurtig problemfri levering og godt produkt. svarede fuldstændig til forventningen og beskrivelsen. ingen problemer overhovedet
__label__1 ,har siden 2018 handlet hos proshop men rimelig tilfredshed  men det er desværre slut nu.proshop har ok priser men deres reklamationsservice og udsendelse af autosvar er så ringe at jeg ikke længere ønsker at bruge penge her mere  desværre.de hævder godt nok at tilbyde muligheder  men alle muligheder går ud på at lægge problemet i kundens hænder for at reducere egen arbejdsmængde i stedet for at tilbyde det der i gamle dage hed: god kundeservice.6/5-22 svar til søren hos proshop: du har afvist mig så rigeligt på telefonen inden min anmeldelse her  så skal vi ikke bare lade den ligge og aftale at i har mistet en ellers trofast kunde - desværre. fitbit løser uden spørgsmål den reklamation i ikke ville håndtere fleksibelt.
__label__5 ,super hurtig levering! alt yderst tilfreds stillende!
__label__5 ,meget hurtige når jeg bestiller mobil eller macbook air m1 fik den under 5 dage da jeg bor i grønland  5 stjerner fra mig
__label__5 ,gode priser og da pakken var forsinket (ikke proshops fejl  men postnord)  vendte de lynhurtigt tilbage på min henvendelse først på mail og derefter telefon. rigtig god service.
__label__5 ,altid hurtig leveringrimelig nem hjemmesidegodt udvalgpris venlig
__label__1 ,jeg skal prøve at gøre et langt forløb så kort som muligt for at undgå at andre ender i sådan en sag som vi er endt i.i november køber jeg en gardena vandslangeholder hos proshop som en gave. vi modtager pakken. på emballagen er der postnordtape  hvor der står ”emballagen gik desværre i stykker undervejs  men vi har strakt lukket den igen”vi tjekker produktet som ved normal besigtigelse ser helt fint ud. derefter sætter vi pakken pænt i vores garage da det er en sæsonbetonet vare  som vi ikke skal bruge før til foråret.i april tager vi den frem  monterer den og trækker slangen nu. her opdager vi så problemet  for slangen vi ikke trække ind ingen. vi undersøger produktet og finder ud af  at der er knækket noget inden i kassetten og desuden er der en lille revne ved et skruehul i selve kassetten. altså ikke noget vi har set hverken ved besigtigelse eller ved montering  men først da vi undrer os over  at slangen ikke ruller ind. her vil proshop nok modargumentere at produkter bærer tydelig præg af at have lidt overlast i transporten. men det er ikke den oplevelse vi har. var det tilfældet havde vi naturligvis reageret. men ja emballagen havde fået et tryk  men produktet så ikke ud til at have lidt overlast før vi direkte leder efter en årsag til at slangen ikke ruller ind. vi kontakter proshop samme dag. de afviser først at hjælpe  da det er for sent at melde det ind. der er gået 5 måneder  men varen er i original emballage og ubrugt. efter yderligere dialog går de med til at tage produktet retur til deres servicecenter  fordi det er en sæsonbetonet vare  som de godt kan forstå  at vi ikke har taget i brug for nu. her konkluderer de at varen er skadet under transporten og derfor ikke er dækket som reklamation. da de konkludere at det er en transportskade  er det for sent at melde det  så de afviser at gøre yderligere. jeg kan nu vælge at betale for at få mit defekte produkt retur eller de kan smide det væk. det til trods for  at de ordret skriver  at de er kede af ikke at kunne hjælpe da de godt ved  at vi ikke selv har ødelagt produktet  men har modtaget et defekt produkt. vi skulle altså have taget vandslangen i brug i vinters  så vi havde opdaget  at den var defekt  meldt det og så havde de sendt os en ny. sagen er nu meldt til forbrugerklagenævnet som skal afgøre  hvad der skal ske. ifølge forbrugerrådet tænk  har vi retten på vores side. retten siger  at vi skal melde en fejl  indenfor rimelig tid fra vi opdager den  hvilket vi gjorde samme dag. bare virkelig ærgerligt  at vi ikke opdagede den ved modtagelse. det er heldigvis proshop  der har pligt til at bevise  at vi har kendt til problemet siden modtagelse. og det har vi naturligvis ikke  i så fald ville vi naturligvis havde meldt det ind på daværende tidspunkt.proshop skriver også  at de er kede af ikke at kunne hjælpe  men her vil jeg bruge ordet ikke at ville hjælpe. der har blankt afslået at gøre noget som helst for at få sagen løst. sikken en øv oplevelse der har kostet oceaner af tid på at skrive frem og tilbage og alligevel ikke finde nogen løsning. til orientering er der tale om et produkt til 1.279 kr. så det er i princippet småpenge for begge parter  men af princip har vi valgt at indsende en klage  fordi vi som forbruger mener vi er 100 uforskyldt og ikke kunne have handlet anderledes i den givne situation.
__label__1 ,man kan ikke få lov at fortryde sin ordre  selvom man fortryder 5 min efter købet. ingen vej udenom og næsvise medarbejdere  der svarer  som hvis de var en maskine. kedelig oplevelse.
__label__5 ,vildt hurtig levering - i en weekend!jeg bestilte lørdag eftermiddag og modtog min pakke i pakkeboks allerede dagen efter  altså en søndag!meget imponerende.
__label__5 ,jeg har efterhånden bestilt hos proshop.dk en del gange. hver gang bliver jeg overrasket over hvor hurtigt de formår at behandle ens ordre og få den leveret i samarbejde med postnord. det er virkelig et system der virker! jeg vil klart anbefale proshop.
__label__5 ,hurtig levering og reklamation hvis der er behov for det. service er meget tilgængelig  hvorfor jeg også er en tilbagevendende kunde hos proshop.
__label__5 ,hurtig ekspedition fra bestilling til afhentning i pickup
__label__5 ,det virker bare. ville dog ønske de havde mulighed for gls. virkeligt træt af postnord
__label__5 ,ekstrem hurtig levering samt varer til en fornuftig pris
__label__5 ,det var let at finde de ønskede varer på websitet  og der fandtes god inspiration til 'andre lignende'. og så fik jeg varerne leveret dagen efter!
__label__5 ,alt som det skulle være. mange tak.
__label__2 ,køber en excentersliber fra makita  hvor der står den er på lager og afsendes samme dag - men da det søndag d. 1. maj  regner jeg først med at modtage varen om tirsdagen. onsdag er der stadig ikke kommet noget og får nærlæst ordrebekræftelsen  hvor der står  at den bliver leveret d. 9. maj - men den er købt ud fra de angivne leveringstidspunktet angivet ved bestillingen  som jeg forventer man kan regne med. man skal ikke skrive  at varen er på lager og leveres indenfor 1-2 hverdage  hvis det ikke passer. grunden til 2 stjerner er  at det i det mindste var nemt at annullere ordren.
__label__1 ,jeg havde lagt en ordre og fik yderligere 20% på en kampagne de lige har haft. jeg ville annullere en skjorte  da den var bestilt for en veninde som ikke ønskede den alligevel. det jeg så ikke vidste og heller ikke kom frem var  at jeg desværre annullerede hele ordren :-(jeg kontaktede derfor zalando  men fik beskeden - ærgerligt. du må genbestille igen til fuld pris  de vare du nu ønsker. skøn kundeservice :-(  ikke noget med  at kunne få varen igen selvom de kunne se  at den tidligere var bestilt til en udsalgspris.
__label__3 ,jeg har været glad for zalando og shoppet rigtig meget på zalando. når det så er sagt så er jeg rigtig utilfreds med den behandling jeg har fået i denne ordre. jeg modtager min pakke med en masse forskellige ting i.dog mangler der en ting (en body pakke) og jeg har så fået nogle sko som jeg slet ikke har bestilt. zalando mener at de først vil tilbagebetale mine penge for den vare jeg ikke har fået når de har fået deres sko tilbage. dem har jeg tilbagesendt men der kan jo gå 14 dage inden de er tilbage og mine penge er registreret og inde på min bank. i mellem tiden skal jeg jo bestille den pakke som jeg ikke har fået og jeg står pt med en dobbelt udgift. hvilket jeg faktisk synes er strengt når fejlen ligger hos zalando og ikke hos mig.
__label__5 ,har netop modtaget varer  som barer er ok. er bare fuldt tilfreds med zelando  hvor jeg vil handle fremover.
__label__1 ,decideret chikane! jeg er mangeårig kunde hos zalando og har lagt uendeligt mange penge i deres foretagende. det slutter så prompte fra i dag.jeg foretog en virkelig stor ordre 19. april  valgte “prøv først  betal senere”. ventede til alt tøj var modtaget  før jeg lavede en samlet returnering i en stor kasse.her til aften modtager jeg så en kreditering på blot 2 produkter fra ordren (returnerede mange flere i samme kasse)  således at zalando få minutter senere kan hæve stort set hele købsbeløbet  selvom de ikke har behandlet hele returneringen fra én og samme kasse. super beregnende elendig behandling af en trofast kunde. for lige at toppe den op  kan jeg ligeledes se de har fratrukket fragt for begge 2 stykker tøj de har modtaget retur  den var også ny zalando!
__label__1 ,varen kommer bare ikkebestilte i fredags - de skrev forventet levering tirsdag - nu nærmer vi os stærkt fredagen efter - kom nu med den vare  jeg har bestilt hjemmelevering  og det koster kassen  at holde sig hjemme  i håb om  at der dukker noget op - og den står stadig registreret at den stadig er hos zalando :(((
__label__2 ,har bestilt et par jakker  hvor de på den ene skriver på hjemmesiden  at den er stor i størrelsen og derfor opfordrer til at bestille en størrelse mindre. hvilket jeg gør.den ankommer (hurtigt - bevares)  men den er for lille.jeg opretter en retur på varen  hvor den eneste mulighed er  at få pengene retur. så må jeg bestille på ny hvis jeg stadig ønsker varen.varen er ikke længere på tilbud og jeg ringer til kundeservice  da jeg blot ønsker den et nummer større. men nu må jeg betale fuld pris hvis jeg ønsker varen.det er fan'me dårlig kundeservice!!
__label__5 ,fuldstændig fantastisk kundeservice...har været kunde igennem nogle år .. og havde sendt noget retur ..men havde denne ene gang glemt at lave en returnering i app ...og alligevel fandt zalando ud af at det var mit og de krediterer mig beløbet . .jeg er ovenud tilfreds ...
__label__1 ,jeg har flere gange bestilt fra zalando men det er ikke før min seneste bestilling  hvor jeg fik brug for hjælp fra kundeservice  at jeg har haft en dårlig oplevelse. label på min pakke er blevet beskadiget undervejs til mig  og derfor er den blevet sendt retur til zalando  før den overhovedet er nået frem til mig. dette får jeg ingen besked om  men må selv opdage det  da jeg undrer mig over  hvor pakken bliver af. jeg kontakter zalando hvor jeg bare får at vide  at jeg må bestille varen igen. problemet er så  at varen er udsolgt  og at jeg ikke kan få lov til at få den vare jeg har købt  sendt ud til mig igen. jeg bliver på ingen måde taget med i processen om hvorfor at det ikke kan lade sig gøre  så jeg har ingen forståelse for  hvorfor de bukser jeg har købt og som var på vej til mig  skal sendes ud til en anden kunde  der står på venteliste og ikke til mig som har købt dem? i mailkorrespondancen med kundeservice bliver jeg ved med at blive mødt af standardsvar  og mine spørgsmål bliver ikke besvaret. jeg synes  at det er super ærgerligt  at zalando ikke sidder klar til at hjælpe deres kunder  når der sker fejl som er deres ansvar.
__label__1 ,jeg havde bestilt en læderjakke. da den ankom var det nogle pletter i foret på jakken. jeg kontakter deres kundeservice som instruerer mig i at oprette en reklamation. jeg tager billeder og opretter en sag. zalando skriver så til mig og beder om at få jakken sendt ind til vurdering. jeg sender jakken ind og afventer. to dage efter får jeg en auto mail om at de blot har refunderet jakken. ved henvendelse til deres kundeservice siger de der intet er at gøre jeg kan bare købe en ny. men nu er situationen at den er udsolgt i min størrelse og koster det dobbelte. helt uacceptabelt man ikke selv får valget om man vil behold varen eller ej.
__label__5 ,har bestilt der mange gange  og hver gang er min pakke kommet super hurtigt (nogle gange dag til dag). varerne er i super kvalitet og det er så nemt at sende varer retur og deres kundeservice er hjælpsomme og svare hurtigt. elsker zalando!
__label__5 ,bestiller en del tøj til hele familen hos zalando. har igennem de seneste år  ikke haft en eneste reklamation eller dårlig oplevelse. tøjet bliver okay hurtigt leveret og lever op til alle forventninger. ofte mange gode rabatter.
__label__1 ,ufattelig langsomme i optræk  nu har jeg oplevet flere gange at det tager dem minimum 4 dage at pakke og sende en ordre  jeg bestilte nogle ting i søndags som skulle være blevet leveret igår men det var først igår de sendte den efter jeg selv havde kontaktet dem  og postnord har den stadig kun stående som registreret  det vist sidste gang jeg bestiller på zalando.
__label__1 ,hvis zalando skal bevare sin troværdighed.bør man stoppe med salget af ecco sko.ecco støtter ruslands krig mod ukraine.støtter zalando også ruslands krig?
__label__1 ,ser de er begyndt at mærkeføre ecco nye skoproduktion????? færdig med at være kunde hos jer  og boykotte fortsat efter krigen er slut  føj for en moral
__label__4 ,altid nemt..! elsker at jeg kan bestille og prøve hjemme og sende retur igen hvis det ikke passer  endda inden regningen kommer... eneste årsag til at der ikke er 5 stjerner  er at det nogen gange koster levering at få bestemte varer  og det kan være en bestemt størrelse.. det er lidt underligt..
__label__1 ,ventede 10 dage på min pakke fra zalando  men på dagen hvor den skulle komme fik jeg i stedet en mail om at varen var sendt retur. da jeg får fat i kundeservice siger de at det skyldes varen er beskadiget  og jeg må lave en ny ordre. men flere af varene er blevet dyre eller er udsolgt i mellemtiden. det er forståeligt der sker fejl  men træls at det er mig der skal sætte tid  energi og penge til når fejlen sker hos dem.
__label__1 ,skulle bestille sko til min knægt.. varen skulle komme til salg d.d. kl. 9.30 - logger ind 9.25... alt udsolgt!? - super ide at sætte tidspunkt på start af produkt  for derefter at starte op mindst 5 minutter før.. heldigvis er der da andre shoppingmuligheder på nettet... nu er vi da en familie der er færdig med denne side.
__label__1 ,zalando kan ikke finde ud af at håndtere retur sager når de har sendt en forkert pakke
__label__1 ,deres leveringstider passer overhovedet ikke. nu er det 4-5 dage siden  at min ordre blev bestilt  og den skulle senest være ankommet i går  men den er ikke engang blevet leveret til pakkefirmaet endnu. desuden  skal kunden selv orientere sig  for zalando giver ikke besked om forsinkelse af pakken.
__label__5 ,bestilte en stak udstyr  fik præcis det jeg bad om til tiden. leveret som jeg ønskede det.5/5 as usual :)
__label__5 ,jeg elsker at handle med proshop. købte en computer på proshop og kunne hente den næste dag i en pakkeshop. har aldrig haft nogle problemer med proshop.
__label__5 ,udover alle forventninger  hurtig levering og absolut en fantastisk maskine ..
__label__5 ,vildt hurtig levering! bestiller mandag kl 19.30 og næste formiddag får jeg besked om  at jeg kan hente varen. wow siger jeg bare!
__label__5 ,bestilt onsdag middag  leveret torsdag formiddag.har flere gange handlet med proshop  har været tilfreds hver gang.
__label__3 ,i min seneste oplevelse bliv jeg skuffet over hjemmeleveringen  hvor jeg har selv hentet til lager. jeg har ellers forventet at  der vil nogen komme og give posten til mig.alt andet er jeg meget glad for  og det bedste er ordren har kommet hurtigt frem!
__label__5 ,"absurd hurtig levering. bestilte ved 16-tiden og havde fået besked om  at jeg kunne samle min pakke op omkring middagstid dagen efter.checkout-flowet var behageligt at benytte  og der er ingen ekstra ""larm""  der kan ødelægge brugeroplevelsen. ville have kommenteret på det overordnede design ift. mangler  men ved nærmere eftertanke formidler det proshops identitet ganske godt: professionalisme og lige til sagen.kan kun anbefales!"
__label__5 ,som altid fornuftig pris  og super hurtig levering...5+
__label__5 ,jeg har handlet mange gange hos proshop og oplevelsen har altid været god.for det meste kommer varene dagen efter jeg har bestilt dem. god service.
__label__5 ,danmarks bedste onlineshop  altid super hurtig levering.
__label__5 ,konkurrencedygtig på prisen - levering og service i top (hurtig reaktion ved fejllevering af postnord)
__label__5 ,efter længere korrespondance med proshop blev jeg henvist til søren som kiggede ordentligt på min sag. søren gav mig et kald og sammen fandt vi frem til en løsning på mit defekte produkt. behagelig samtale  proshop stod ved at der var begået en fejl fra deres side og de udviste professionel service. tak til søren for god behandling og forståelse.
__label__3 ,gode priser og hurtig levering  dog ikke helt hurtigt nok. jeg bestilte en vare før kl. 18  hvor der da stod på hjemmesiden at jeg ville få den næste dag (jeg skulle afsted og besøge mine forældre 2 dage efter jeg bestilte  så jeg tænkte det ville være rigelig tid til at få pakken  dog kom den ikke og med god grund da det så ud som om postnord først modtog den omkring kl 12 på den dag hvor den egentlig skulle være leveret). nu endte jeg så med at tage afsted og den er stadig ikke kommet. når man lover noget på hjemmesiden  så skaber det jo forventninger og det er synd at jeg ikke har fået den med. udover dette ville jeg sige fra mine andre oplevelser at det er en god side.
